Sample	SDW	RDW	NDW.SDW.ratio	NN	NDW	SDWi.SDWf	RDWi.RDWf	nNDW	NDW.RDW.ratio
1951-9F	NA	NA	NA	NA	0.36	NA	NA	12.3	NA
1991-11F	8	3.41	2.34	278	0.45	0.93	0.91	15.33	5.67
1990-141F	10.47	4.01	2.61	180	0.33	0.78	0.31	8.92	3.14
1866-12F	9.08	3.57	2.55	114	0.34	0.98	0.45	10.54	3.74
1935-8F	7.4	2.11	3.5	213	0.28	NA	NA	15.2	3.77
1990-67F	9.74	4.04	2.41	337	0.42	0.94	0.62	11.71	4.35
1990-134F	10.28	3.56	2.89	215	0.38	1.21	0.4	12.01	3.72
Hernon147	8.52	4.67	1.82	231	0.55	0.83	0.24	13.42	6.49
1910-13F	10.82	3.79	2.86	136	0.27	0.91	0.41	7.74	2.51
1987-117F	10.64	5.71	1.86	295	0.55	0.79	0.7	10.71	5.19
1924-2F	1.89	1.38	1.37	21	0.11	NA	NA	8.66	5.82
1988-17F	9.86	3.24	3.04	345	0.42	0.77	0.53	14.68	4.21
1989-59F	9.57	4.88	1.96	449	0.59	0.94	0.66	13.77	6.17
1991-20F	10.82	3.93	2.76	171	0.37	1.08	0.68	10.31	3.39
1990-135F	13.11	3.6	3.64	162	0.27	0.7	0.44	8.08	2.06
1939-2F	7.49	4.24	1.77	308	0.38	1.43	5.44	9.93	5.11
1963-3F	9.61	3.58	2.68	180	0.31	0.94	0.76	9.56	3.25
1988-9F	6.4	2.35	2.72	236	0.3	0.86	0.53	14.45	4.64
1984-11F	6.83	2.26	3.02	141	0.31	0.6	0.44	15.98	4.56
1984-24F	9.04	2.91	3.1	180	0.53	0.48	0.27	22.39	5.9
1949-13F	10.5	3.11	3.37	204	0.35	0.6	0.44	12.65	3.33
1844-18E	6.37	2.65	2.4	99	0.21	0.7	0.35	8.72	3.34
1985-12F	7.32	3.8	1.92	466	0.62	NA	NA	19.37	8.43
1935-3F	4.37	1.36	3.21	256	0.28	0.32	0.4	25.54	6.33
1935-2F	2.51	0.91	2.76	93	0.12	0.4	0.36	15.19	4.78
1903-7F	12.38	5.44	2.28	202	0.67	0.94	1.17	14.07	5.42
1984-5F	7.05	1.94	3.64	123	0.25	0.48	0.37	15.14	3.61
1991-26F	8.16	4.29	1.9	189	0.34	1.05	0.8	8.62	4.17
1985-3F	7.98	3.19	2.5	78	0.27	1.03	1.36	9.36	3.42
1987-35F	8.4	4.26	1.97	266	0.46	0.94	0.78	12.05	5.46
536-02D	8.23	3.89	2.11	175	0.33	0.83	0.89	9.28	4.02
UG5	10.62	3.39	3.13	517	0.65	0.74	0.7	23.6	6.1
1910-11F	14.08	4.47	3.15	531	0.21	0.89	0.69	5.05	1.52
1988-25F	9.45	2.32	4.08	165	0.19	1.17	0.51	9.12	2.05
1988-5F	10.65	4.74	2.25	205	0.41	0.92	0.79	9.43	3.84
1954-4F	6.56	2.47	2.65	106	0.25	NA	NA	11.01	3.74
1990-2F	14.38	5.72	2.51	277	0.66	0.77	0.75	13.09	4.61
1985-4F	8.29	2.59	3.2	181	0.52	0.52	0.44	25	6.26
1990-114F	12.16	2.86	4.25	248	0.39	0.66	0.48	15.73	3.2
1991-12F	8.73	3.85	2.27	181	0.31	0.87	0.21	8.88	3.6
1987-17F	10.83	4.13	2.62	267	0.36	0.75	1.07	9.57	3.33
1990-30F	8.51	3.06	2.78	209	0.31	1.04	0.41	11.27	3.64
Storm	6.93	2.88	2.41	187	0.27	0.69	0.48	10.36	3.9
1987-6F	6.01	3.21	1.87	383	0.66	0.69	0.51	25.88	10.99
Solitaire	7.16	2.62	2.73	123	0.16	0.77	0.41	6.62	2.28
1987-10F	13.56	4.8	2.82	217	0.51	0.8	0.57	11.79	3.74
1988-4F	13.45	6.32	2.13	215	0.49	0.98	1.04	8.38	3.63
1987-19F	8.96	2.84	3.16	259	0.34	0.53	0.3	13.81	3.84
1990-111F	9.63	2.94	3.27	329	0.49	0.62	0.33	19.94	5.08
1989-29F	10.35	4.17	2.48	250	0.38	0.99	0.82	9.9	3.63
1984-8F	6.51	2.21	2.95	153	0.21	0.45	0.66	10.72	3.28
1989-6F	8.11	3.81	2.13	302	0.51	0.7	0.62	15.52	6.32
Ocepara-4a	9.25	4.03	2.3	189	0.47	1.12	0.7	13.2	5.08
1989-14F	11.27	2.92	3.86	126	0.33	0.69	0.71	12.83	2.95
1991-18F	8.56	4.96	1.72	336	0.52	0.76	0.64	11.61	6.04
923-2E	5.56	2.01	2.77	138	0.35	1.81	1.67	21.47	6.39
1988-24F	8.32	2.91	2.86	234	0.4	0.66	0.46	16.03	4.83
1989-52F	10.94	4.51	2.43	337	0.52	0.73	0.63	13	4.74
Safari	8.78	3.75	2.34	166	0.24	0.91	0.34	6.69	2.68
1951-4F	12.02	3.02	3.98	512	0.62	0.81	0.57	25.69	5.14
1989-63F	15.11	5.47	2.76	276	0.61	1.02	0.78	12.61	4.06
1987-8F	12.01	4.6	2.61	272	0.42	0.84	0.3	10.1	3.51
